id,nome,jogo_id,pais_id,event_id
132,Botswana,12,111,11
133,Brazil,12,53,10
134,Brazil,12,53,12
135,Brazil,12,53,13
136,Canada,12,27,12
137,Canada,12,27,9
138,China,12,72,12
139,China,12,72,13
140,Colombia,12,48,11
141,Cuba,12,84,9
142,Czech Republic,12,120,11
143,Denmark,12,115,12
144,Denmark,12,115,13
145,Dominican Rep.,12,100,10
146,Ecuador,12,110,13
147,France,12,5,12
148,France,12,5,11
149,France,12,5,13
150,France,12,5,9
151,Germany,12,20,10
152,Germany,12,20,12
153,Germany,12,20,11
154,Germany,12,20,13
155,Germany,12,20,9
156,Ghana,12,109,12
157,Great Britain,12,56,10
158,Great Britain,12,56,12
159,Great Britain,12,56,11
160,Great Britain,12,56,13
161,Great Britain,12,56,9
162,India,12,43,10
163,India,12,43,11
164,Ireland,12,93,10
165,Italy,12,4,10
166,Italy,12,4,12
167,Italy,12,4,11
168,Italy,12,4,13
169,Italy,12,4,9
170,Jamaica,12,94,10
171,Jamaica,12,94,12
172,Jamaica,12,94,11
173,Jamaica,12,94,13
174,Jamaica,12,94,9
175,Japan,12,25,12
176,Japan,12,25,11
177,Japan,12,25,13
178,Netherlands,12,10,10
179,Netherlands,12,10,12
180,Netherlands,12,10,11
181,Netherlands,12,10,13
182,Netherlands,12,10,9
183,Nigeria,12,45,10
184,Nigeria,12,45,13
185,Poland,12,51,10
186,Poland,12,51,11
187,Poland,12,51,13
188,Poland,12,51,9
189,South Africa,12,37,12
190,South Africa,12,37,11
191,Spain,12,3,10
192,Switzerland,12,36,13
193,Switzerland,12,36,9
194,Trinidad & Tobago,12,71,12
195,Trinidad & Tobago,12,71,11
196,Trinidad & Tobago,12,71,13
197,Turkey,12,54,12
198,Ukraine,12,87,10
199,Ukraine,12,87,9
200,United States,12,12,10
201,United States,12,12,12
202,United States,12,12,11
203,United States,12,12,13
204,United States,12,12,9
205,Australia,11,11,14
206,Canada,11,27,14
207,Dominican Rep.,11,100,15
208,Israel,11,97,15
209,Italy,11,4,14
210,Japan,11,25,15
211,Japan,11,25,14
212,Mexico,11,47,15
213,Mexico,11,47,14
214,Republic of Korea,11,112,15
215,United States,11,12,15
216,United States,11,12,14
217,Argentina,5,85,2
218,Australia,5,11,2
219,Australia,5,11,3
220,Belgium,5,15,3
221,Canada,5,27,3
222,China,5,72,3
223,Czech Republic,5,120,2
224,France,5,5,2
225,France,5,5,3
226,Germany,5,20,2
227,Islamic Rep. of Iran,5,8,2
228,Italy,5,4,2
229,Japan,5,25,2
230,Japan,5,25,3
231,Nigeria,5,45,2
232,Nigeria,5,45,3
233,Puerto Rico,5,59,3
234,Republic of Korea,5,112,3
235,Serbia,5,86,3
236,Slovenia,5,133,2
237,Spain,5,3,2
238,Spain,5,3,3
239,United States,5,12,2
240,United States,5,12,3
241,Azaad/Capogrosso,25,85,2
242,Gallay/Pereyra,25,85,3
243,McHugh/Schumann,25,11,2
244,Artacho Del Solar/Clancy,25,11,3
245,Alison/Alvaro Filho,25,53,2
246,Evandro/Bruno Schmidt,25,53,2
247,Ana Patricia/Rebecca,25,53,3
248,Agatha/Duda,25,53,3
249,Bansley/Brandie,25,27,3
250,Pavan/Melissa,25,27,3
251,Grimalt M./Grimalt E.,25,6,2
252,Wang/X.Y.Xia,25,72,3
253,Xue/Wang X.X.,25,72,3
254,Lidy/Leila,25,84,3
255,Perusic/Schweiner,25,120,2
256,Hermannova/Slukova,25,120,3
257,Thole J./Wickler,25,20,2
258,Ludwig/Kozuch,25,20,3
259,Sude/Borger,25,20,3
260,Nicolai/Lupo,25,4,2
261,Carambula/Rossi,25,4,2
262,Menegatti/Orsi Toth,25,4,3
263,Gottsu/Shiratori,25,25,2
264,Ishii/Murakami,25,25,3
265,Makokha/Khadambi,25,64,3
266,Plavins/Tocs,25,78,2
267,Graudina/Kravcenoka,25,78,3
268,Gaxiola/Rubio,25,47,2
269,Abicha/Elgraoui,25,30,2
270,Brouwer/Meeuwsen,25,10,2
271,Keizer/Meppelink,25,10,3
272,Stam/Schoon,25,10,3
273,Mol A./Sorum C.,25,2,2
274,Bryl/Fijalek,25,51,2
275,Kantor/Losiak,25,51,2
276,Cherif/Ahmed,25,13,2
277,Krasilnikov/Stoyanovskiy,25,33,2
278,Leshukov/Semenov,25,33,2
279,Makroguzova/Kholomina,25,33,3
280,Herrera/Gavira,25,3,2
281,Liliana/Elsa,25,3,3
282,Heidrich/Gerson,25,36,2
283,Huberli/Betschart,25,36,3
284,"Verge-Depre, A./Heidrich",25,36,3
285,Gibb/Bourne,25,12,2
286,Lucena/Dalhausser,25,12,2
287,April/Alix,25,12,3
288,Claes/Sponcil,25,12,3
289,Australia,40,11,16
290,Australia,40,11,17
291,Australia,40,11,18
292,Australia,40,11,19
293,Australia,40,11,20
294,Austria,40,31,16
295,Belgium,40,15,16
296,Belgium,40,15,19
297,Canada,40,27,16
298,Canada,40,27,17
299,Canada,40,27,19
300,Canada,40,27,20
301,China,40,72,21
302,Denmark,40,115,16
303,Denmark,40,115,17
304,Denmark,40,115,19
305,France,40,5,16
306,France,40,5,18
307,France,40,5,19
308,France,40,5,20
309,Germany,40,20,16
310,Germany,40,20,17
311,Germany,40,20,18
312,Germany,40,20,19
313,Germany,40,20,20
314,Germany,40,20,21
315,Great Britain,40,56,16
316,Great Britain,40,56,17
317,Great Britain,40,56,18
318,Great Britain,40,56,19
319,Great Britain,40,56,20
320,"Hong Kong, China",40,129,19
321,Ireland,40,93,16
322,Ireland,40,93,19
323,Italy,40,4,16
324,Italy,40,4,17
325,Italy,40,4,19
326,Italy,40,4,20
327,Japan,40,25,19
328,Lithuania,40,58,21
329,Mexico,40,47,21
330,Netherlands,40,10,16
331,Netherlands,40,10,18
332,Netherlands,40,10,19
333,Netherlands,40,10,21
334,New Zealand,40,113,16
335,New Zealand,40,113,17
336,New Zealand,40,113,18
337,New Zealand,40,113,19
338,New Zealand,40,113,20
339,Poland,40,51,16
340,Poland,40,51,18
341,Poland,40,51,19
342,Poland,40,51,21
343,ROC,40,33,18
344,ROC,40,33,19
345,ROC,40,33,21
346,Spain,40,3,16
347,Switzerland,40,36,16
348,Switzerland,40,36,17
349,Ukraine,40,87,21
350,United States,40,12,16
351,United States,40,12,19
352,United States,40,12,20
353,Canada,19,27,22
354,Canada,19,27,23
355,China,19,72,24
356,China,19,72,25
357,China,19,72,26
358,Egypt,19,14,22
359,Egypt,19,14,27
360,Egypt,19,14,23
361,Estonia,19,95,25
362,France,19,5,24
363,France,19,5,22
364,France,19,5,23
365,France,19,5,26
366,Germany,19,20,22
367,Germany,19,20,27
368,"Hong Kong, China",19,129,22
369,"Hong Kong, China",19,129,25
370,Hungary,19,57,27
371,Hungary,19,57,23
372,Hungary,19,57,26
373,Islamic Rep. of Iran,19,8,27
374,Italy,19,4,24
375,Italy,19,4,22
376,Italy,19,4,27
377,Italy,19,4,25
378,Italy,19,4,23
379,Italy,19,4,26
380,Japan,19,25,24
381,Japan,19,25,22
382,Japan,19,25,27
383,Japan,19,25,23
384,Japan,19,25,26
385,Poland,19,51,25
386,Republic of Korea,19,112,24
387,Republic of Korea,19,112,27
388,Republic of Korea,19,112,25
389,Republic of Korea,19,112,26
390,ROC,19,33,24
391,ROC,19,33,22
392,ROC,19,33,27
393,ROC,19,33,25
394,ROC,19,33,23
395,ROC,19,33,26
396,Switzerland,19,36,24
397,Tunisia,19,46,26
398,Ukraine,19,87,24
399,United States,19,12,24
400,United States,19,12,22
401,United States,19,12,27
402,United States,19,12,25
403,United States,19,12,23
404,United States,19,12,26
405,Argentina,17,85,2
406,Australia,17,11,2
407,Australia,17,11,3
408,Brazil,17,53,2
409,Brazil,17,53,3
410,Canada,17,27,3
411,Chile,17,6,3
412,China,17,72,3
413,Côte d’Ivoire,17,70,2
414,Egypt,17,14,2
415,France,17,5,2
416,Germany,17,20,2
417,Great Britain,17,56,3
418,Honduras,17,101,2
419,Japan,17,25,2
420,Japan,17,25,3
421,Mexico,17,47,2
422,Netherlands,17,10,3
423,New Zealand,17,113,2
424,New Zealand,17,113,3
425,Republic of Korea,17,112,2
426,Romania,17,50,2
427,Saudi Arabia,17,19,2
428,South Africa,17,37,2
429,Spain,17,3,2
430,Sweden,17,55,3
431,United States,17,12,3
432,Zambia,17,137,3
433,Angola,6,60,3
434,Argentina,6,85,2
435,Bahrain,6,24,2
436,Brazil,6,53,2
437,Brazil,6,53,3
438,Denmark,6,115,2
439,Egypt,6,14,2
440,France,6,5,2
441,France,6,5,3
442,Germany,6,20,2
443,Hungary,6,57,3
444,Japan,6,25,2
445,Japan,6,25,3
446,Montenegro,6,121,3
447,Netherlands,6,10,3
448,Norway,6,2,2
449,Norway,6,2,3
450,Portugal,6,40,2
451,Republic of Korea,6,112,3
452,ROC,6,33,3
453,Spain,6,3,2
454,Spain,6,3,3
455,Sweden,6,55,2
456,Sweden,6,55,3
457,Argentina,27,85,2
458,Argentina,27,85,3
459,Australia,27,11,2
460,Australia,27,11,3
461,Belgium,27,15,2
462,Canada,27,27,2
463,China,27,72,3
464,Germany,27,20,2
465,Germany,27,20,3
466,Great Britain,27,56,2
467,Great Britain,27,56,3
468,India,27,43,2
469,India,27,43,3
470,Ireland,27,93,3
471,Japan,27,25,2
472,Japan,27,25,3
473,Netherlands,27,10,2
474,Netherlands,27,10,3
475,New Zealand,27,113,2
476,New Zealand,27,113,3
477,South Africa,27,37,2
478,South Africa,27,37,3
479,Spain,27,3,2
480,Spain,27,3,3
481,Australia,10,11,28
482,Azerbaijan,10,9,28
483,Belarus,10,107,28
484,Brazil,10,53,28
485,Bulgaria,10,91,28
486,China,10,72,28
487,Egypt,10,14,28
488,Israel,10,97,28
489,Italy,10,4,28
490,Japan,10,25,28
491,ROC,10,33,28
492,Ukraine,10,87,28
493,United States,10,12,28
494,Uzbekistan,10,21,28
495,Argentina,36,85,2
496,Australia,36,11,2
497,Australia,36,11,3
498,Brazil,36,53,3
499,Canada,36,27,2
500,Canada,36,27,3
501,China,36,72,3
502,Fiji,36,136,2
503,Fiji,36,136,3
504,France,36,5,3
505,Great Britain,36,56,2
506,Great Britain,36,56,3
507,Ireland,36,93,2
508,Japan,36,25,2
509,Japan,36,25,3
510,Kenya,36,64,2
511,Kenya,36,64,3
512,New Zealand,36,113,2
513,New Zealand,36,113,3
514,Republic of Korea,36,112,2
515,ROC,36,33,3
516,South Africa,36,37,2
517,United States,36,12,2
518,United States,36,12,3
519,Australia,7,11,29
520,Australia,7,11,30
521,Australia,7,11,31
522,Australia,7,11,32
523,Australia,7,11,33
524,Australia,7,11,34
525,Australia,7,11,35
526,Belarus,7,107,30
527,Belarus,7,107,32
528,Belarus,7,107,34
529,Brazil,7,53,29
530,Brazil,7,53,30
531,Brazil,7,53,31
532,Brazil,7,53,32
533,Brazil,7,53,33
534,Brazil,7,53,35
535,Canada,7,27,29
536,Canada,7,27,30
537,Canada,7,27,32
538,Canada,7,27,33
539,Canada,7,27,34
540,Canada,7,27,35
541,China,7,72,30
542,China,7,72,31
543,China,7,72,32
544,China,7,72,33
545,China,7,72,34
546,China,7,72,35
547,Czech Republic,7,120,33
548,Denmark,7,115,33
549,Denmark,7,115,34
550,France,7,5,29
551,France,7,5,30
552,France,7,5,31
553,France,7,5,33
554,France,7,5,35
555,Germany,7,20,29
556,Germany,7,20,30
557,Germany,7,20,31
558,Germany,7,20,32
559,Germany,7,20,33
560,Germany,7,20,34
561,Germany,7,20,35
562,Great Britain,7,56,29
563,Great Britain,7,56,30
564,Great Britain,7,56,31
565,Great Britain,7,56,32
566,Great Britain,7,56,33
567,Great Britain,7,56,34
568,Greece,7,103,29
569,Greece,7,103,30
570,Greece,7,103,32
571,"Hong Kong, China",7,129,33
572,"Hong Kong, China",7,129,34
573,"Hong Kong, China",7,129,35
574,Hungary,7,57,29
575,Hungary,7,57,30
576,Hungary,7,57,31
577,Hungary,7,57,32
578,Hungary,7,57,35
579,Ireland,7,93,31
580,Israel,7,97,31
581,Israel,7,97,32
582,Italy,7,4,29
583,Italy,7,4,30
584,Italy,7,4,31
585,Italy,7,4,32
586,Italy,7,4,34
587,Italy,7,4,35
588,Japan,7,25,29
589,Japan,7,25,30
590,Japan,7,25,31
591,Japan,7,25,32
592,Japan,7,25,33
593,Japan,7,25,34
594,Japan,7,25,35
595,Lithuania,7,58,30
596,Netherlands,7,10,29
597,Netherlands,7,10,32
598,Netherlands,7,10,33
599,Netherlands,7,10,34
600,New Zealand,7,113,35
601,Poland,7,51,29
602,Poland,7,51,30
603,Poland,7,51,31
604,Poland,7,51,32
605,Poland,7,51,33
606,Poland,7,51,35
607,Republic of Korea,7,112,31
608,Republic of Korea,7,112,35
609,ROC,7,33,29
610,ROC,7,33,30
611,ROC,7,33,31
612,ROC,7,33,32
613,ROC,7,33,33
614,ROC,7,33,34
615,ROC,7,33,35
616,Serbia,7,86,29
617,South Africa,7,37,34
618,South Africa,7,37,35
619,Spain,7,3,34
620,Sweden,7,55,33
621,Sweden,7,55,34
622,Switzerland,7,36,29
623,Switzerland,7,36,31
624,Turkey,7,54,35
625,United States,7,12,29
626,United States,7,12,30
627,United States,7,12,31
628,United States,7,12,32
629,United States,7,12,33
630,United States,7,12,34
631,United States,7,12,35
632,Australia,16,11,4
633,HU Heming / TAPPER Melissa,16,11,36
634,Australia,16,11,6
635,FEGERL Stefan / POLCANOVA Sofia,16,31,36
636,Austria,16,31,6
637,Brazil,16,53,4
638,Brazil,16,53,6
639,WANG Zhen / ZHANG Mo,16,27,36
640,China,16,72,4
641,XU Xin / LIU Shiwen,16,72,36
642,China,16,72,6
643,Chinese Taipei,16,161,4
644,LIN Yun Ju / CHENG I Ching,16,161,36
645,Chinese Taipei,16,161,6
646,Croatia,16,149,4
647,CAMPOS Jorge / FONSECA Daniela,16,84,36
648,Egypt,16,14,4
649,ASSAR Omar / MESHREF Dina,16,14,36
650,Egypt,16,14,6
651,France,16,5,4
652,LEBESSON Emmanuel / YUAN Jia Nan,16,5,36
653,France,16,5,6
654,Germany,16,20,4
655,FRANZISKA Patrick / SOLJA Petrissa,16,20,36
656,Germany,16,20,6
657,"Hong Kong, China",16,129,4
658,WONG Chun Ting / DOO Hoi Kem,16,129,36
659,"Hong Kong, China",16,129,6
660,SZUDI Adam / PERGEL Szandra,16,57,36
661,Hungary,16,57,6
662,ACHANTA Kamal / BATRA Manika,16,43,36
663,Japan,16,25,4
664,MIZUTANI Jun / ITO Mima,16,25,36
665,Japan,16,25,6
666,Poland,16,51,6
667,Portugal,16,40,4
668,Republic of Korea,16,112,4
669,LEE Sangsu / JEON Jihee,16,112,36
670,Republic of Korea,16,112,6
671,IONESCU Ovidiu / SZOCS Bernadette,16,50,36
672,Romania,16,50,6
673,Serbia,16,86,4
674,Singapore,16,17,6
675,PISTEJ Lubomir / BALAZOVA Barbora,16,135,36
676,Slovenia,16,133,4
677,Sweden,16,55,4
678,United States,16,12,4
679,United States,16,12,6
680,Australia,30,11,37
681,Austria,30,31,37
682,Belgium,30,15,37
683,Canada,30,27,37
684,France,30,5,37
685,Germany,30,20,37
686,Great Britain,30,56,37
687,Hungary,30,57,37
688,Italy,30,4,37
689,Japan,30,25,37
690,Mexico,30,47,37
691,Netherlands,30,10,37
692,New Zealand,30,113,37
693,ROC,30,33,37
694,South Africa,30,37,37
695,Spain,30,3,37
696,Switzerland,30,36,37
697,United States,30,12,37
698,Argentina,37,85,2
699,Argentina,37,85,3
700,Brazil,37,53,2
701,Brazil,37,53,3
702,Canada,37,27,2
703,China,37,72,3
704,Dominican Rep.,37,100,3
705,France,37,5,2
706,Islamic Rep. of Iran,37,8,2
707,Italy,37,4,2
708,Italy,37,4,3
709,Japan,37,25,2
710,Japan,37,25,3
711,Kenya,37,64,3
712,Poland,37,51,2
713,Republic of Korea,37,112,3
714,ROC,37,33,2
715,ROC,37,33,3
716,Serbia,37,86,3
717,Tunisia,37,46,2
718,Turkey,37,54,3
719,United States,37,12,2
720,United States,37,12,3
721,Venezuela,37,104,2
722,Australia,32,11,2
723,Australia,32,11,3
724,Canada,32,27,3
725,China,32,72,3
726,Croatia,32,149,2
727,Greece,32,103,2
728,Hungary,32,57,2
729,Hungary,32,57,3
730,Italy,32,4,2
731,Japan,32,25,2
732,Japan,32,25,3
733,Kazakhstan,32,23,2
734,Montenegro,32,121,2
735,Netherlands,32,10,3
736,ROC,32,33,3
737,Serbia,32,86,2
738,South Africa,32,37,2
739,South Africa,32,37,3
740,Spain,32,3,2
741,Spain,32,3,3
742,United States,32,12,2
743,United States,32,12,3
